Year,State,SO2,SO2_diff
01-01-2016,Andhra Pradesh,6.76,-0.12
01-01-2016,Assam,7.391304348,0.6185770750000001
01-01-2016,Bihar,4.5,0.5
01-01-2016,Chandigarh,2,0
01-01-2016,Chattisgarh,9.625,-0.5
01-01-2016,Dadra & Nagar Haveli,21,5
01-01-2016,Daman & Diu,19,5
01-01-2016,Delhi,6.888888889,1.5555555560000007
01-01-2016,Goa,5.222222222,0.751633987
01-01-2016,Gujarat,13.57142857,0.11688312000000067
01-01-2016,Himachal Pradesh,2.318181818,0.045454545
01-01-2016,Jammu & Kashmir,3.333333333,0
01-01-2016,Jharkhand,21.8,1.3000000000000007
01-01-2016,Karnataka,3.423076923,-2.206552707
01-01-2016,Kerala,3.791666667,-0.291666666
01-01-2016,Madhya Pradesh,10.63888889,-0.26736111
01-01-2016,Maharashtra,17.14925373,1.6567164200000022
01-01-2016,Mizoram,2,0
01-01-2016,Puducherry,9,-0.333333333
01-01-2016,Punjab,8.125,-0.50462963
01-01-2016,Rajasthan,7.233333333,0.32857142800000005
01-01-2016,Tamilnadu,10.74193548,-0.12903226
01-01-2016,Telangana,5.75,0.4772727269999999
01-01-2016,West Bengal,9.277777778,1.9027777780000008
01-01-2017,Andhra Pradesh,5,-1.76
01-01-2017,Assam,6.695652174,-0.695652174
01-01-2017,Bihar,9.25,4.75
01-01-2017,Chandigarh,6.538461538,4.538461538
01-01-2017,Dadra & Nagar Haveli,15.66666667,-5.33333333
01-01-2017,Daman & Diu,14.33333333,-4.66666667
01-01-2017,Delhi,7.333333333,0.4444444439999993
01-01-2017,Goa,7.111111111,1.8888888889999995
01-01-2017,Gujarat,14.70833333,1.1369047600000002
01-01-2017,Haryana,9.5,-6
01-01-2017,Himachal Pradesh,2.24,-0.078181818
01-01-2017,Jammu & Kashmir,4,0.6666666669999999
01-01-2017,Jharkhand,21.5,-0.3
01-01-2017,Karnataka,3,-0.423076923
01-01-2017,Kerala,3.75,-0.041666667
01-01-2017,Madhya Pradesh,11.05128205,0.4123931599999988
01-01-2017,Maharashtra,15.42647059,-1.72278314
01-01-2017,Meghalaya,5.2,0.3250000000000002
01-01-2017,Mizoram,2,0
01-01-2017,Nagaland,2,0
01-01-2017,Odisha,6.432432432,0.23243243199999952
01-01-2017,Puducherry,6.5,-2.5
01-01-2017,Punjab,8.481481481,0.35648148099999943
01-01-2017,Rajasthan,7.694444444,0.46111111100000013
01-01-2017,Sikkim,6.125,-5.76388889
01-01-2017,Tamilnadu,10.16666667,-0.57526881
01-01-2017,Telangana,6.2,0.4500000000000002
01-01-2017,Uttar Pradesh,10.61538462,-0.06386066
01-01-2017,Uttarakhand,24.6,-1.2
01-01-2017,West Bengal,6.973333333,-2.304444445
01-01-2018,Andhra Pradesh,6.463768116,1.4637681159999998
01-01-2018,Assam,6.652173913,-0.043478261
01-01-2018,Bihar,11,1.75
01-01-2018,Chandigarh,2,-4.538461538
01-01-2018,Chattisgarh,9.444444444,-0.180555556
01-01-2018,Dadra & Nagar Haveli,25.66666667,10.000000000000002
01-01-2018,Daman & Diu,24,9.66666667
01-01-2018,Delhi,6,-1.333333333
01-01-2018,Goa,7.5,0.3888888890000004
01-01-2018,Gujarat,17.95833333,3.2499999999999982
01-01-2018,Haryana,10,0.5
01-01-2018,Himachal Pradesh,2.166666667,-0.073333333
01-01-2018,Jammu & Kashmir,4,0
01-01-2018,Jharkhand,21.3,-0.2
01-01-2018,Karnataka,3.153846154,0.153846154
01-01-2018,Kerala,3.625,-0.125
01-01-2018,Madhya Pradesh,10.92307692,-0.12820513
01-01-2018,Maharashtra,15.13636364,-0.29010695
01-01-2018,Meghalaya,5.2,0
