State,SO2
"Andhra
Pradesh",6.463768116
"Arunachal
Pradesh",3
Assam,6.652173913
Bihar,11
Chandigarh,2
Chattisgarh,9.444444444
"Dadra &
Nagar Haveli",25.66666667
"Daman &
Diu",24
Delhi,6
Goa,7.5
Gujarat,17.95833333
Haryana,10
"Himachal
Pradesh",2.166666667
"Jammu &
Kashmir",4
Jharkhand,21.3
Karnataka,3.153846154
Kerala,3.625
"Madhya
Pradesh",10.92307692
Maharashtra,15.13636364
Manipur,10
Meghalaya,5.2
Mizoram,2
Nagaland,2
Odisha,6.5
Puducherry,4
Punjab,7.044444444
Rajasthan,8.461538462
Sikkim,6.333333333
Tamilnadu,10.80645161
Telangana,6.56
Tripura,11.5
"Uttar
Pradesh",11.06060606
Uttarakhand,19
West Bengal,7.660714286
