Year,State,SO2
2015,Andhra Pradesh,6.88
2015,"Arunachal Pradesh
",4
2015,Assam,6.772727273
2015,Bihar,4
2015,Chandigarh,2
2015,Chattisgarh,10.125
2015,Dadra & Nagar Haveli,16
2015,Daman & Diu,14
2015,Delhi,5.333333333
2015,Goa,4.470588235
2015,Gujarat,13.45454545
2015,Haryana,15.5
2015,Himachal Pradesh,2.272727273
2015,Jammu & Kashmir,3.333333333
2015,Jharkhand,20.5
2015,Karnataka,5.62962963
2015,Kerala,4.083333333
2015,Madhya Pradesh,10.90625
2015,Maharashtra,15.49253731
2015,Meghalaya,4.875
2015,Mizoram,2
2015,Nagaland,2
2015,Orissa,5.451612903
2015,Puducherry,9.333333333
2015,Punjab,8.62962963
2015,Rajasthan,6.904761905
2015,Tamilnadu,10.87096774
2015,Telangana,5.272727273
2015,Uttar Pradesh,10.67924528
2015,Uttarakhand,25.8
2015,West Bengal,7.375
2016,Andhra Pradesh,6.76
2016,Assam,7.391304348
2016,Bihar,4.5
2016,Chandigarh,2
2016,Chattisgarh,9.625
2016,Dadra & Nagar Haveli,21
2016,Daman & Diu,19
2016,Delhi,6.888888889
2016,Goa,5.222222222
2016,Gujarat,13.57142857
2016,Himachal Pradesh,2.318181818
2016,Jammu & Kashmir,3.333333333
2016,Jharkhand,21.8
2016,Karnataka,3.423076923
2016,Kerala,3.791666667
2016,Madhya Pradesh,10.63888889
2016,Maharashtra,17.14925373
2016,"Meghalay
a",7
2016,Mizoram,2
2016,Odisha,6.2
2016,Puducherry,9
2016,Punjab,8.125
2016,Rajasthan,7.233333333
2016,Sikkim,11.88888889
2016,Tamilnadu,10.74193548
2016,Telangana,5.75
2016,"Uttar
Pradesh",10.26229508
2016,Uttarakha nd,25.2
2016,West Bengal,9.277777778
2017,Andhra Pradesh,5
2017,Assam,6.695652174
2017,Bihar,9.25
2017,Chandigarh,6.538461538
2017,Dadra & Nagar Haveli,15.66666667
2017,Daman & Diu,14.33333333
2017,Delhi,7.333333333
2017,Goa,7.111111111
2017,Gujarat,14.70833333
2017,Haryana,9.5
2017,Himachal Pradesh,2.24
2017,Jammu & Kashmir,4
2017,Jharkhand,21.5
2017,Karnataka,3
2017,Kerala,3.75
2017,Madhya Pradesh,11.05128205
2017,Maharashtra,15.42647059
2017,Meghalaya,5.2
2017,Mizoram,2
2017,Nagaland,2
2017,Odisha,6.432432432
2017,Puducherry,6.5
2017,Punjab,8.481481481
2017,Rajasthan,7.694444444
2017,Sikkim,6.125
2017,Tamilnadu,10.16666667
2017,Telangana,6.2
2017,Tripura,23
2017,Uttar Pradesh,10.61538462
2017,Uttarakhand,24.6
2017,West Bengal,6.973333333
2018,Andhra Pradesh,6.463768116
2018,Arunachal Pradesh,3
2018,Assam,6.652173913
2018,Bihar,11
2018,Chandigarh,2
2018,Chattisgarh,9.444444444
2018,Dadra & Nagar Haveli,25.66666667
2018,Daman & Diu,24
2018,Delhi,6
2018,Goa,7.5
2018,Gujarat,17.95833333
2018,Haryana,10
2018,Himachal Pradesh,2.166666667
2018,Jammu & Kashmir,4
2018,Jharkhand,21.3
2018,Karnataka,3.153846154
2018,Kerala,3.625
2018,Madhya Pradesh,10.92307692
2018,Maharashtra,15.13636364
2018,Manipur,10
2018,Meghalaya,5.2
2018,Mizoram,2
2018,Nagaland,2
2018,Odisha,6.5
2018,Puducherry,4
2018,Punjab,7.044444444
2018,Rajasthan,8.461538462
2018,Sikkim,6.333333333
2018,Tamilnadu,10.80645161
2018,Telangana,6.56
2018,Tripura,11.5
2018,Uttar Pradesh,11.06060606
2018,Uttarakhand,19
2018,West Bengal,7.660714286
2019,Andhra Pradesh,6.13888
2019,Arunachal Pradesh,3
2019,Assam,6.5652
2019,Bihar,9.75
2019,Chattisgarh,9
2019,"Dadra & Nagar Haveli and Daman & Diu
",21
2019,Delhi,4.6667
2019,Goa,9.05882
2019,Gujarat,20.5
2019,Himachal Pradesh,2.1904
2019,Jharkhand,21.6
2019,Karnataka,4.518
2019,Kerala,3.321
2019,Madhya Pradesh,11.05
2019,Maharashtra,14.75
2019,Manipur,9
2019,Meghalaya,4.6
2019,Mizoram,2
2019,Nagaland,2
2019,Odisha,6.405
2019,Puducherry,3.333
2019,Punjab,7.77
2019,Rajasthan,8.974
2019,Sikkim,5.75
2019,Tamilnadu,10.193
2019,Telangana,6.44
2019,Tripura,4
2019,Uttar Pradesh,11.064
2019,Uttarakhand,9
2019,West Bengal,8.592
2020,Andhra Pradesh,6.12
2020,Assam,5.5833
2020,Chandigarh,2
2020,Chattisgarh,7.6
2020,"Dadra & Nagar Haveli and Daman & Diu
",8.69
2020,Goa,7
2020,Gujarat,10.1944
2020,Jammu & Kashmir,11.866
2020,Karnataka,3.5
2020,Kerala,2.37
2020,Madhya Pradesh,11.171
2020,Maharashtra,13.036
2020,Manipur,5
2020,Meghalaya,4.6
2020,Mizoram,2
2020,Nagaland,2
2020,Odisha,5.774
2020,Puducherry,7.136
2020,Rajasthan,8.81
2020,Sikkim,5.125
2020,Tamilnadu,10.0357
2020,Telangana,5.545454
2020,Tripura,6
2020,Uttar Pradesh,10.417
2020,Uttarakhand,16.25
2020,West Bengal,8.3037
2021,Andhra Pradesh,7.31
2021,Arunachal Pradesh,15
2021,Assam,7.38
2021,Bihar,7.5
2021,Chandigarh (UT),6
2021,Chattisgarh,9.2
2021,Dadara & Nagar Haveli and Daman & Diu (UT),15
2021,Delhi (UT),10
2021,Goa,6.46
2021,Gujarat,16.08
2021,Haryana,12.35
2021,Himachal Pradesh,2.19
2021,Jammu & Kashmir (UT),6
2021,Jharkhand,19.75
2021,Karnataka,11.18
2021,Kerala,5
2021,Madhya Pradesh,12.25
2021,Maharashtra,14.81
2021,Manipur,6
2021,Meghalaya,6.17
2021,Mizoram,2
2021,Nagaland,11
2021,Odisha,8.71
2021,Pondicherry (UT),4.5
2021,Punjab,7.38
2021,Rajasthan,11.45
2021,Sikkim,5.63
2021,Tamilnadu,9.33
2021,Telangana,6.55
2021,Tripura,19
2021,Uttar Pradesh,12.65
2021,Uttarakhand,16.33
2021,West Bengal,7.04
2022,Andhra Pradesh,6.73
2022,Arunachal Pradesh,15
2022,Assam,6.77
2022,Bihar,8
2022,Chandigarh (UT),7
2022,Chattisgarh,10.2
2022,Dadara & Nagar Haveli and Daman & Diu (UT),17.25
2022,Delhi (UT),9
2022,Goa,5
2022,Gujarat,19.11
2022,Haryana,12.08
2022,Himachal Pradesh,3.09
2022,Jammu & Kashmir (UT),8.33
2022,Jharkhand,21.43
2022,Karnataka,13.2
2022,Kerala,3.56
2022,Madhya Pradesh,13.07
2022,Maharashtra,16.47
2022,Manipur,51
2022,Meghalaya,7.57
2022,Mizoram,2
2022,Nagaland,21.5
2022,Odisha,8.61
2022,Pondicherry (UT),5.5
2022,Punjab,7.59
2022,Rajasthan,11.29
2022,Sikkim,5.14
2022,Tamilnadu,15.54
2022,Telangana,7.88
2022,Tripura,31
2022,Uttar Pradesh,15.02
2022,Uttarakhand,15
2022,West Bengal,7.82
2023,Andhra Pradesh,8.090909
2023,Assam,10.5
2023,Bihar,11.954545
2023,Chandigarh (UT),6
2023,Chattisgarh,10
2023,Delhi (UT),8
2023,Goa,3
2023,Gujarat,14.25
2023,Haryana,12.153846
2023,Himachal Pradesh,4
2023,Jammu & Kashmir (UT),11
2023,Jharkhand,24.75
2023,Karnataka,15.25
2023,Kerala,5
2023,Madhya Pradesh,13
2023,Maharashtra,14.684211
2023,Manipur,48
2023,Meghalaya,9.125
2023,Mizoram,2
2023,Nagaland,14.5
2023,Odisha,10.5
2023,Pondicherry (UT),7
2023,Punjab,7
2023,Rajasthan,7
2023,Sikkim,8.833333
2023,Tamilnadu,14
2023,Telangana,13
2023,Tripura,28
2023,Uttar Pradesh,16
2023,Uttarakhand,6.333333
2023,West Bengal,5
