Year,State,SO2,SO2_diff
2016-01-01,Andhra Pradesh,6.76,-0.1200000000000001
2016-01-01,Assam,7.391304348,0.6185770750000001
2016-01-01,Bihar,4.5,0.5
2016-01-01,Chandigarh,2.0,0.0
2016-01-01,Chattisgarh,9.625,-0.5
2016-01-01,Dadra & Nagar Haveli,21.0,5.0
2016-01-01,Daman & Diu,19.0,5.0
2016-01-01,Delhi,6.888888889,1.5555555560000007
2016-01-01,Goa,5.222222222,0.751633987
2016-01-01,Gujarat,13.57142857,0.11688312000000067
2016-01-01,Himachal Pradesh,2.318181818,0.04545454499999968
2016-01-01,Jammu & Kashmir,3.333333333,0.0
2016-01-01,Jharkhand,21.8,1.3000000000000007
2016-01-01,Karnataka,3.423076923,-2.206552707
2016-01-01,Kerala,3.791666667,-0.2916666659999998
2016-01-01,Madhya Pradesh,10.63888889,-0.2673611099999995
2016-01-01,Maharashtra,17.14925373,1.6567164200000022
2016-01-01,Mizoram,2.0,0.0
2016-01-01,Puducherry,9.0,-0.33333333300000056
2016-01-01,Punjab,8.125,-0.5046296300000002
2016-01-01,Rajasthan,7.233333333,0.32857142800000005
2016-01-01,Tamilnadu,10.74193548,-0.1290322599999989
2016-01-01,Telangana,5.75,0.4772727269999999
2016-01-01,West Bengal,9.277777778,1.9027777780000008
2017-01-01,Andhra Pradesh,5.0,-1.7599999999999998
2017-01-01,Assam,6.695652174,-0.6956521740000001
2017-01-01,Bihar,9.25,4.75
2017-01-01,Chandigarh,6.538461538,4.538461538
2017-01-01,Dadra & Nagar Haveli,15.66666667,-5.33333333
2017-01-01,Daman & Diu,14.33333333,-4.66666667
2017-01-01,Delhi,7.333333333,0.4444444439999993
2017-01-01,Goa,7.111111111,1.8888888889999995
2017-01-01,Gujarat,14.70833333,1.1369047600000002
2017-01-01,Haryana,9.5,-6.0
2017-01-01,Himachal Pradesh,2.24,-0.07818181799999957
2017-01-01,Jammu & Kashmir,4.0,0.6666666669999999
2017-01-01,Jharkhand,21.5,-0.3000000000000007
2017-01-01,Karnataka,3.0,-0.423076923
2017-01-01,Kerala,3.75,-0.04166666699999988
2017-01-01,Madhya Pradesh,11.05128205,0.4123931599999988
2017-01-01,Maharashtra,15.42647059,-1.7227831400000024
2017-01-01,Meghalaya,5.2,0.3250000000000002
2017-01-01,Mizoram,2.0,0.0
2017-01-01,Nagaland,2.0,0.0
2017-01-01,Odisha,6.432432432,0.23243243199999952
2017-01-01,Puducherry,6.5,-2.5
2017-01-01,Punjab,8.481481481,0.35648148099999943
2017-01-01,Rajasthan,7.694444444,0.46111111100000013
2017-01-01,Sikkim,6.125,-5.7638888900000005
2017-01-01,Tamilnadu,10.16666667,-0.5752688100000007
2017-01-01,Telangana,6.2,0.4500000000000002
2017-01-01,Uttar Pradesh,10.61538462,-0.06386065999999957
2017-01-01,Uttarakhand,24.6,-1.1999999999999993
2017-01-01,West Bengal,6.973333333,-2.3044444450000006
2018-01-01,Andhra Pradesh,6.463768116,1.4637681159999998
2018-01-01,Assam,6.652173913,-0.04347826099999974
2018-01-01,Bihar,11.0,1.75
2018-01-01,Chandigarh,2.0,-4.538461538
2018-01-01,Chattisgarh,9.444444444,-0.18055555599999984
2018-01-01,Dadra & Nagar Haveli,25.66666667,10.000000000000002
2018-01-01,Daman & Diu,24.0,9.66666667
2018-01-01,Delhi,6.0,-1.3333333329999997
2018-01-01,Goa,7.5,0.3888888890000004
2018-01-01,Gujarat,17.95833333,3.2499999999999982
2018-01-01,Haryana,10.0,0.5
2018-01-01,Himachal Pradesh,2.166666667,-0.07333333300000033
2018-01-01,Jammu & Kashmir,4.0,0.0
2018-01-01,Jharkhand,21.3,-0.1999999999999993
2018-01-01,Karnataka,3.153846154,0.153846154
2018-01-01,Kerala,3.625,-0.125
2018-01-01,Madhya Pradesh,10.92307692,-0.12820512999999956
2018-01-01,Maharashtra,15.13636364,-0.2901069499999984
2018-01-01,Meghalaya,5.2,0.0
2018-01-01,Mizoram,2.0,0.0
2018-01-01,Nagaland,2.0,0.0
2018-01-01,Odisha,6.5,0.0675675680000003
2018-01-01,Puducherry,4.0,-2.5
2018-01-01,Punjab,7.044444444,-1.4370370369999996
2018-01-01,Rajasthan,8.461538462,0.7670940179999999
2018-01-01,Sikkim,6.333333333,0.20833333299999968
2018-01-01,Tamilnadu,10.80645161,0.6397849400000002
2018-01-01,Telangana,6.56,0.35999999999999943
2018-01-01,Tripura,11.5,-11.5
2018-01-01,Uttar Pradesh,11.06060606,0.4452214399999992
2018-01-01,Uttarakhand,19.0,-5.600000000000001
2018-01-01,West Bengal,7.660714286,0.6873809529999999
2019-01-01,Andhra Pradesh,6.13888,-0.32488811599999945
2019-01-01,Arunachal Pradesh,3.0,0.0
2019-01-01,Assam,6.5652,-0.08697391300000046
2019-01-01,Bihar,9.75,-1.25
2019-01-01,Chattisgarh,9.0,-0.44444444400000016
2019-01-01,Delhi,4.6667,-1.3333000000000004
2019-01-01,Goa,9.05882,1.5588200000000008
2019-01-01,Gujarat,20.5,2.5416666700000015
2019-01-01,Himachal Pradesh,2.1904,0.023733333000000023
2019-01-01,Jharkhand,21.6,0.3000000000000007
2019-01-01,Karnataka,4.518,1.3641538459999998
2019-01-01,Kerala,3.321,-0.3039999999999998
2019-01-01,Madhya Pradesh,11.05,0.12692308000000097
2019-01-01,Maharashtra,14.75,-0.3863636400000008
2019-01-01,Manipur,9.0,-1.0
2019-01-01,Meghalaya,4.6,-0.6000000000000005
2019-01-01,Mizoram,2.0,0.0
2019-01-01,Nagaland,2.0,0.0
2019-01-01,Odisha,6.405,-0.09499999999999975
2019-01-01,Puducherry,3.333,-0.6669999999999998
2019-01-01,Punjab,7.77,0.7255555559999998
2019-01-01,Rajasthan,8.974,0.5124615380000002
2019-01-01,Sikkim,5.75,-0.5833333329999997
2019-01-01,Tamilnadu,10.193,-0.6134516100000003
2019-01-01,Telangana,6.44,-0.11999999999999922
2019-01-01,Tripura,4.0,-7.5
2019-01-01,Uttar Pradesh,11.064,0.003393940000000484
2019-01-01,Uttarakhand,9.0,-10.0
2019-01-01,West Bengal,8.592,0.9312857140000004
2020-01-01,Andhra Pradesh,6.12,-0.01888000000000023
2020-01-01,Assam,5.5833,-0.9818999999999996
2020-01-01,Chandigarh,2.0,0.0
2020-01-01,Chattisgarh,7.6,-1.4000000000000004
2020-01-01,"Dadra & Nagar Haveli and Daman & Diu
",8.69,-12.31
2020-01-01,Goa,7.0,-2.0588200000000008
2020-01-01,Gujarat,10.1944,-10.3056
2020-01-01,Jammu & Kashmir,11.866,7.866
2020-01-01,Karnataka,3.5,-1.0179999999999998
2020-01-01,Kerala,2.37,-0.9510000000000001
2020-01-01,Madhya Pradesh,11.171,0.12099999999999866
2020-01-01,Maharashtra,13.036,-1.7140000000000004
2020-01-01,Manipur,5.0,-4.0
2020-01-01,Meghalaya,4.6,0.0
2020-01-01,Mizoram,2.0,0.0
2020-01-01,Nagaland,2.0,0.0
2020-01-01,Odisha,5.774,-0.6310000000000002
2020-01-01,Puducherry,7.136,3.803
2020-01-01,Rajasthan,8.81,-0.1639999999999997
2020-01-01,Sikkim,5.125,-0.625
2020-01-01,Tamilnadu,10.0357,-0.15729999999999933
2020-01-01,Telangana,5.545454,-0.8945460000000001
2020-01-01,Tripura,6.0,2.0
2020-01-01,Uttar Pradesh,10.417,-0.6470000000000002
2020-01-01,Uttarakhand,16.25,7.25
2020-01-01,West Bengal,8.3037,-0.28830000000000133
2021-01-01,Andhra Pradesh,7.31,1.1899999999999995
2021-01-01,Arunachal Pradesh,15.0,12.0
2021-01-01,Assam,7.38,1.7966999999999995
2021-01-01,Bihar,7.5,-2.25
2021-01-01,Chattisgarh,9.2,1.5999999999999996
2021-01-01,Goa,6.46,-0.54
2021-01-01,Gujarat,16.08,5.885599999999998
2021-01-01,Haryana,12.35,2.3499999999999996
2021-01-01,Himachal Pradesh,2.19,-0.00039999999999995595
2021-01-01,Jharkhand,19.75,-1.8500000000000014
2021-01-01,Karnataka,11.18,7.68
2021-01-01,Kerala,5.0,2.63
2021-01-01,Madhya Pradesh,12.25,1.0790000000000006
2021-01-01,Maharashtra,14.81,1.774000000000001
2021-01-01,Manipur,6.0,1.0
2021-01-01,Meghalaya,6.17,1.5700000000000003
2021-01-01,Mizoram,2.0,0.0
2021-01-01,Nagaland,11.0,9.0
2021-01-01,Odisha,8.71,2.936000000000001
2021-01-01,Punjab,7.38,-0.3899999999999997
2021-01-01,Rajasthan,11.45,2.639999999999999
2021-01-01,Sikkim,5.63,0.5049999999999999
2021-01-01,Tamilnadu,9.33,-0.7057000000000002
2021-01-01,Telangana,6.55,1.0045459999999995
2021-01-01,Tripura,19.0,13.0
2021-01-01,Uttar Pradesh,12.65,2.2330000000000005
2021-01-01,Uttarakhand,16.33,0.0799999999999983
2021-01-01,West Bengal,7.04,-1.2636999999999992
2022-01-01,Andhra Pradesh,6.73,-0.5799999999999992
2022-01-01,Arunachal Pradesh,15.0,0.0
2022-01-01,Assam,6.77,-0.6100000000000003
2022-01-01,Bihar,8.0,0.5
2022-01-01,Chandigarh (UT),7.0,1.0
2022-01-01,Chattisgarh,10.2,1.0
2022-01-01,Dadara & Nagar Haveli and Daman & Diu (UT),17.25,2.25
2022-01-01,Delhi (UT),9.0,-1.0
2022-01-01,Goa,5.0,-1.46
2022-01-01,Gujarat,19.11,3.030000000000001
2022-01-01,Haryana,12.08,-0.2699999999999996
2022-01-01,Himachal Pradesh,3.09,0.8999999999999999
2022-01-01,Jammu & Kashmir (UT),8.33,2.33
2022-01-01,Jharkhand,21.43,1.6799999999999997
2022-01-01,Karnataka,13.2,2.0199999999999996
2022-01-01,Kerala,3.56,-1.44
2022-01-01,Madhya Pradesh,13.07,0.8200000000000003
2022-01-01,Maharashtra,16.47,1.6599999999999984
2022-01-01,Manipur,51.0,45.0
2022-01-01,Meghalaya,7.57,1.4000000000000004
2022-01-01,Mizoram,2.0,0.0
2022-01-01,Nagaland,21.5,10.5
2022-01-01,Odisha,8.61,-0.10000000000000142
2022-01-01,Pondicherry (UT),5.5,1.0
2022-01-01,Punjab,7.59,0.20999999999999996
2022-01-01,Rajasthan,11.29,-0.16000000000000014
2022-01-01,Sikkim,5.14,-0.4900000000000002
2022-01-01,Tamilnadu,15.54,6.209999999999999
2022-01-01,Telangana,7.88,1.33
2022-01-01,Tripura,31.0,12.0
2022-01-01,Uttar Pradesh,15.02,2.369999999999999
2022-01-01,Uttarakhand,15.0,-1.3299999999999983
2022-01-01,West Bengal,7.82,0.7800000000000002
2023-01-01,Andhra Pradesh,8.090909,1.3609089999999995
2023-01-01,Assam,10.5,3.7300000000000004
2023-01-01,Bihar,11.954545,3.9545449999999995
2023-01-01,Chandigarh (UT),6.0,-1.0
2023-01-01,Chattisgarh,10.0,-0.1999999999999993
2023-01-01,Delhi (UT),8.0,-1.0
2023-01-01,Goa,3.0,-2.0
2023-01-01,Gujarat,14.25,-4.859999999999999
2023-01-01,Haryana,12.153846,0.07384599999999963
2023-01-01,Himachal Pradesh,4.0,0.9100000000000001
2023-01-01,Jammu & Kashmir (UT),11.0,2.67
2023-01-01,Jharkhand,24.75,3.3200000000000003
2023-01-01,Karnataka,15.25,2.0500000000000007
2023-01-01,Kerala,5.0,1.44
2023-01-01,Madhya Pradesh,13.0,-0.07000000000000028
2023-01-01,Maharashtra,14.684211,-1.7857889999999994
2023-01-01,Manipur,48.0,-3.0
2023-01-01,Meghalaya,9.125,1.5549999999999997
2023-01-01,Mizoram,2.0,0.0
2023-01-01,Nagaland,14.5,-7.0
2023-01-01,Odisha,10.5,1.8900000000000006
2023-01-01,Pondicherry (UT),7.0,1.5
2023-01-01,Punjab,7.0,-0.5899999999999999
2023-01-01,Rajasthan,7.0,-4.289999999999999
2023-01-01,Sikkim,8.833333,3.693333
2023-01-01,Tamilnadu,14.0,-1.5399999999999991
2023-01-01,Telangana,13.0,5.12
2023-01-01,Tripura,28.0,-3.0
2023-01-01,Uttar Pradesh,16.0,0.9800000000000004
2023-01-01,Uttarakhand,6.333333,-8.666667
2023-01-01,West Bengal,5.0,-2.8200000000000003
